Month,Open Price,High Price,Low Price,Close Price,No.of Shares,No. of Trades,Total Turnover (Rs.),Deliverable Quantity,% Deli. Qty to Traded Qty,Spread High-Low,Spread Close-Open
May-2006,1021.00,1195.00,806.00,953.25,63825244,687467,65788237146.00,14423788,22.60,389.00,-67.75
June-2006,953.00,1062.00,810.00,1058.75,70465212,905770,65927363520.00,15296962,21.71,252.00,105.75
July-2006,1058.00,1100.00,941.65,979.00,44715414,653304,45835361229.00,8280340,18.52,158.35,-79.00
August-2006,978.95,1144.90,940.00,1117.60,34304402,511143,35591874699.00,6499815,18.95,204.90,138.65
September-2006,1117.00,1189.90,1075.20,1171.05,28185604,397708,32002721899.00,6414127,22.76,114.70,54.05
October-2006,1188.00,1240.20,1138.15,1226.20,21837439,277814,25926420085.00,6571301,30.09,102.05,38.20
November-2006,1226.00,1315.90,1220.15,1245.00,23624383,338602,29988763193.00,7155016,30.29,95.75,19.00
December-2006,1251.20,1350.00,1181.00,1270.35,21651843,326129,27302089000.00,6268251,28.95,169.00,19.15
January-2007,1252.55,1409.00,1252.55,1364.60,14531202,241949,19399005142.00,4790871,32.97,156.45,112.05
February-2007,1365.05,1445.00,1341.10,1354.60,14806627,250363,20653574041.00,4706185,31.78,103.90,-10.45
March-2007,1385.50,1420.00,1250.00,1368.35,19384509,354393,25554658094.00,5771262,29.77,170.00,-17.15
April-2007,1355.00,1625.00,1305.00,1560.10,15537691,303213,22986276740.00,5220637,33.60,320.00,205.10
May-2007,1578.80,1785.00,1555.05,1760.20,17604134,369869,29343872271.00,5374622,30.53,229.95,181.40
June-2007,1760.00,1779.00,1640.00,1700.30,14706505,334659,25021939121.00,3023318,20.56,139.00,-59.70
July-2007,1699.00,1948.00,1680.00,1892.30,16356833,325710,29810041188.00,4605970,28.16,268.00,193.30
August-2007,1881.00,1969.90,1700.00,1959.50,21123340,479489,38350580910.00,5371168,25.43,269.90,78.50
September-2007,1959.00,2426.00,1945.00,2296.20,14004123,333860,29835485664.00,3584712,25.60,481.00,337.20
October-2007,2296.00,2850.00,2264.25,2782.55,38479708,885402,99739782241.00,13386746,34.79,585.75,486.55
November-2007,2782.00,3235.00,2605.00,2850.75,19523882,459568,53869773101.00,6918780,35.44,630.00,68.75
December-2007,2850.00,2960.00,2654.00,2881.05,10731796,276424,30416941685.00,3852528,35.90,306.00,31.05
January-2008,2950.00,3252.10,2120.00,2479.50,22143482,548148,61649308936.00,7229649,32.65,1132.10,-470.50
February-2008,2479.00,2650.00,2230.00,2458.25,16439748,522678,40870263536.00,4947538,30.09,420.00,-20.75
March-2008,2351.00,2442.00,2120.00,2264.50,19741805,618416,44609342576.00,5537729,28.05,322.00,-86.50
April-2008,2284.00,2690.00,2245.50,2614.85,18313886,648727,46074795936.00,4177868,22.81,444.50,330.85
May-2008,2614.00,2706.60,2391.00,2401.65,14057903,495285,36192534593.00,2912873,20.72,315.60,-212.35
June-2008,2401.00,2442.30,1984.05,2093.25,30388453,1070992,67166126834.00,5900216,19.42,458.25,-307.75
July-2008,2090.00,2329.00,1922.50,2206.20,32086146,1238580,66956965509.00,5445600,16.97,406.50,116.20
August-2008,2175.00,2375.00,2057.00,2136.75,20449330,740339,45920176921.00,4274744,20.90,318.00,-38.25
September-2008,2108.35,2224.90,1764.00,1946.35,32090514,1176552,64131440243.00,8567586,26.70,460.90,-162.00
October-2008,1986.50,1986.50,930.00,1370.75,45191629,1635411,64306130094.00,9370738,20.74,1056.50,-615.75
November-2008,1412.50,1500.00,1021.00,1131.60,51160216,1833737,60618126333.00,6900143,13.49,479.00,-280.90
December-2008,1150.05,1408.00,1033.00,1230.25,54792524,1902364,67564845304.00,6165481,11.25,375.00,80.20
January-2009,1240.05,1384.00,1067.10,1325.20,42333000,1389464,51088668660.00,5924769,14.00,316.90,85.15
February-2009,1335.00,1414.20,1201.10,1265.05,29896495,1003865,39292688895.00,3723881,12.46,213.10,-69.95
March-2009,1249.30,1582.00,1118.05,1523.20,37676899,1196729,50719331819.00,5354023,14.21,463.95,273.90
April-2009,1530.25,1844.00,1497.55,1802.70,25791645,861200,44346628494.00,2464192,9.55,346.45,272.45
May-2009,1854.00,2490.00,1838.00,2277.50,22988343,777270,47148705623.00,3962480,17.24,652.00,423.50
June-2009,2305.00,2372.30,1847.90,2023.35,25858427,986054,55251111296.00,4580306,17.71,524.40,-281.65
July-2009,2010.00,2085.00,1718.30,1957.10,29110523,1078335,56197811865.00,4326095,14.86,366.70,-52.90
August-2009,1960.00,2123.80,1865.00,2004.10,19449415,723661,38874798910.00,2938754,15.11,258.80,44.10
September-2009,2017.00,2210.90,1887.70,2201.20,30245391,701410,63706627930.00,12619515,41.72,323.20,184.20
October-2009,2189.70,2304.00,1921.60,1931.25,18440928,715860,38909924793.00,5534047,30.01,382.40,-258.45
November-2009,1919.95,2225.90,1011.25,1062.80,18940519,809522,35399824987.00,4386903,23.16,1214.65,-857.15
December-2009,1069.95,1120.00,990.00,1089.40,17526246,591949,18615483721.00,4406885,25.14,130.00,19.45
January-2010,1094.00,1184.70,1018.00,1046.55,34953330,594084,37137166287.00,20334329,58.18,166.70,-47.45
February-2010,1037.95,1059.00,961.00,978.00,17250247,566055,17281609093.00,5600705,32.47,98.00,-59.95
March-2010,986.60,1109.40,979.95,1074.65,16590063,510002,17363251385.00,5410237,32.61,129.45,88.05
April-2010,1080.05,1171.00,1012.05,1032.50,16723348,503416,18068452646.00,5170091,30.92,158.95,-47.55
May-2010,1024.70,1093.60,976.35,1045.05,22844300,682362,23516702112.00,7087421,31.02,117.25,20.35
June-2010,1045.00,1092.90,840.55,1086.90,19116560,535817,20038927533.00,6024378,31.51,252.35,41.90
July-2010,1083.60,1085.00,1004.00,1009.60,13869214,403960,14576580529.00,5283513,38.10,81.00,-74.00
August-2010,1020.05,1029.70,915.10,918.85,23096668,675184,22541622661.00,9690247,41.96,114.60,-101.20
September-2010,931.00,1048.00,885.15,986.35,19791842,556614,19553424993.00,7830194,39.56,162.85,55.35
October-2010,992.00,1110.00,991.00,1095.80,19148833,494540,20315921187.00,7206300,37.63,119.00,103.80
November-2010,1121.10,1187.00,958.90,986.80,16280213,495354,16984420073.00,5829958,35.81,228.10,-134.30
December-2010,985.00,1075.00,977.20,1058.25,12887780,390689,13328667699.00,4209487,32.66,97.80,73.25
January-2011,1062.00,1090.00,903.10,919.25,19266718,543672,19176082161.00,7241718,37.59,186.90,-142.75
February-2011,926.00,1008.65,885.00,964.95,23491998,603681,22112199412.00,7930274,33.76,123.65,38.95
March-2011,971.50,1054.50,964.10,1047.80,17320727,501955,17428256295.00,6215392,35.88,90.40,76.30
April-2011,1048.95,1065.55,971.65,981.95,9084566,287943,9213681677.00,3256366,35.85,93.90,-67.00
May-2011,983.70,987.00,899.25,951.75,10495345,337081,9840601035.00,3530029,33.63,87.75,-31.95
June-2011,950.50,967.90,829.00,897.60,14209159,426787,12711327977.00,4134450,29.10,138.90,-52.90
July-2011,900.00,906.00,824.00,827.70,12043633,351117,10387756950.00,3681896,30.57,82.00,-72.30
August-2011,837.00,845.00,713.55,781.50,14399376,431758,11117379512.00,4207475,29.22,131.45,-55.50
September-2011,795.55,859.00,748.50,808.30,20908985,573835,16911087420.00,3789923,18.13,110.50,12.75
October-2011,794.40,899.90,761.65,877.75,14222822,386007,11790935207.00,3810252,26.79,138.25,83.35
November-2011,869.00,902.00,751.15,778.80,15180222,412772,12411733942.00,3848929,25.35,150.85,-90.20
December-2011,798.55,819.00,690.00,692.90,20184875,559045,15100605049.00,4292308,21.26,129.00,-105.65
January-2012,697.90,825.00,687.55,815.45,19070745,536727,14313781551.00,3672145,19.26,137.45,117.55
February-2012,819.50,864.45,765.75,818.65,16742362,383900,13910637724.00,6075383,36.29,98.70,-0.85
March-2012,812.70,829.45,719.40,748.25,12676900,365329,9726589593.00,3909562,30.84,110.05,-64.45
April-2012,750.00,762.40,724.05,745.20,10848227,227822,8052368033.00,4319323,39.82,38.35,-4.80
May-2012,749.00,750.90,671.00,706.00,10889923,240336,7612745466.00,4223548,38.78,79.90,-43.00
June-2012,707.50,742.50,673.50,737.45,9403648,263537,6740029802.00,2925954,31.12,69.00,29.95
July-2012,736.10,745.00,707.30,742.85,5571172,156246,4046381659.00,1753550,31.48,37.70,6.75
August-2012,741.00,824.95,730.50,771.95,10279494,248848,8088293531.00,3373012,32.81,94.45,30.95
September-2012,770.00,881.00,760.10,836.70,9054224,245929,7477654651.00,2867305,31.67,120.90,66.70
October-2012,840.80,860.40,792.35,805.25,10312571,246026,8450184853.00,3645101,35.35,68.05,-35.55
November-2012,793.90,814.55,761.00,793.90,7964618,174152,6271057289.00,2824726,35.47,53.55,0.00
December-2012,795.70,849.40,789.60,839.10,6835043,178816,5677252914.00,2208260,32.31,59.80,43.40
January-2013,844.75,954.80,836.30,886.55,10590538,277083,9360444017.00,3814134,36.01,118.50,41.80
February-2013,891.00,900.60,805.80,814.65,6463780,198241,5552081753.00,1714610,26.53,94.80,-76.35
March-2013,815.30,869.00,765.00,773.70,9885918,220830,8130208219.00,4252411,43.01,104.00,-41.60
April-2013,780.35,826.85,765.00,788.15,9511962,252516,7497659582.00,3439824,36.16,61.85,7.80
May-2013,787.90,854.80,780.00,805.60,8926555,267604,7332381386.00,2587778,28.99,74.80,17.70
June-2013,807.00,873.00,776.50,861.85,9874200,366619,7982584609.00,2880766,29.17,96.50,54.85
July-2013,862.00,927.90,800.00,871.60,10109517,437248,8979641155.00,3048934,30.16,127.90,9.60
August-2013,875.35,882.00,765.00,851.55,8356353,389514,6921603860.00,1859602,22.25,117.00,-23.80
September-2013,852.30,900.90,819.05,822.35,9258401,373176,8016563795.00,2650262,28.63,81.85,-29.95
October-2013,826.80,915.80,818.50,912.35,7994848,345111,7018515146.00,2532448,31.68,97.30,85.55
November-2013,909.00,925.00,836.00,853.10,5757323,248716,5016740632.00,1805295,31.36,89.00,-55.90
December-2013,852.75,908.35,836.25,894.80,6034413,240964,5268511420.00,2137410,35.42,72.10,42.05
January-2014,896.75,898.00,823.00,830.85,5523918,262815,4775163631.00,1651620,29.90,75.00,-65.90
February-2014,829.00,829.40,794.00,799.25,4097363,174092,3333327527.00,1565862,38.22,35.40,-29.75
March-2014,800.00,939.30,798.00,929.50,8633859,316013,7620988362.00,3890162,45.06,141.30,129.50
April-2014,935.05,988.90,930.00,935.30,6560890,285842,6262436777.00,3264615,49.76,58.90,0.25
May-2014,941.00,1142.50,925.00,1065.15,11434861,640775,12038184515.00,4637522,40.56,217.50,124.15
June-2014,1073.15,1132.80,1000.10,1014.70,8233114,513530,8806148304.00,2509083,30.48,132.70,-58.45
July-2014,1016.00,1042.50,959.00,1006.00,7772886,462363,7810357590.00,2794058,35.95,83.50,-10.00
August-2014,998.40,1023.25,971.60,999.25,5273893,266054,5230480472.00,2356991,44.69,51.65,0.85
September-2014,1003.15,1049.90,918.10,945.35,6409846,347651,6315069107.00,2214602,34.55,131.80,-57.80
October-2014,944.80,1002.70,912.75,999.20,7273760,321867,6890410348.00,3149294,43.30,89.95,54.40
November-2014,1002.00,1016.20,964.15,990.85,4731270,235734,4670816641.00,1644036,34.75,52.05,-11.15
December-2014,989.40,991.70,859.95,891.15,9155808,356776,8271501310.00,4182229,45.68,131.75,-98.25
January-2015,885.50,934.25,831.10,915.35,9869437,409592,8582062360.00,4309509,43.67,103.15,29.85
February-2015,915.15,943.10,837.10,866.25,8812618,363745,7806661976.00,3189721,36.19,106.00,-48.90
March-2015,869.85,909.00,796.75,824.70,8133925,372882,6950477669.00,3047927,37.47,112.25,-45.15
April-2015,824.95,943.80,814.00,862.85,8462614,425041,7483856558.00,2897012,34.23,129.80,37.90
May-2015,867.00,915.50,857.90,877.15,6902299,225621,6108691325.00,2091885,30.31,57.60,10.15
June-2015,877.00,1013.80,874.00,1000.45,11641485,313485,11083293241.00,3611181,31.02,139.80,123.45
July-2015,1002.40,1067.00,984.30,1001.65,9600630,236189,9747913543.00,3677019,38.30,82.70,-0.75
August-2015,1001.15,1013.20,819.00,856.80,7651509,221326,7038600808.00,2110609,27.58,194.20,-144.35
September-2015,852.55,899.00,825.25,860.50,8519428,176227,7261931824.00,4071860,47.79,73.75,7.95
October-2015,872.00,974.00,858.80,947.85,4773882,146696,4403414663.00,1243661,26.05,115.20,75.85
November-2015,946.10,992.00,910.00,968.00,4201879,136008,3982325107.00,1079107,25.68,82.00,21.90
December-2015,966.40,1018.50,913.00,1012.60,5667572,167036,5538909581.00,1786520,31.52,105.50,46.20
January-2016,1010.00,1089.50,978.15,1035.05,17971880,345349,18362994780.00,9160077,50.97,111.35,25.05
February-2016,1040.00,1041.00,888.50,966.55,10394659,239594,9947374343.00,4705903,45.27,152.50,-73.45
March-2016,967.50,1055.95,965.00,1045.25,9004567,195169,9164079331.00,5146393,57.15,90.95,77.75
April-2016,1039.00,1070.00,977.85,982.55,5353032,193548,5504295659.00,1657939,30.97,92.15,-56.45
May-2016,981.40,994.70,925.70,958.95,4933727,168235,4762538587.00,1631320,33.06,69.00,-22.45
June-2016,958.80,995.00,934.40,969.45,5266522,160674,5094279392.00,2001831,38.01,60.60,10.65
July-2016,973.50,1039.00,970.20,1015.50,6212010,164242,6271341346.00,2878978,46.35,68.80,42.00
August-2016,1016.55,1073.55,984.50,1058.00,6258908,149102,6442853062.00,3276841,52.35,89.05,41.45
September-2016,1053.90,1128.90,1003.10,1082.10,11316252,230974,12155490150.00,5826302,51.49,125.80,28.20
October-2016,1084.50,1124.80,1043.20,1051.20,7330283,143385,7986599443.00,3867978,52.77,81.60,-33.30
November-2016,1051.00,1055.00,932.00,992.75,5170909,128514,5152101823.00,2438007,47.15,123.00,-58.25
December-2016,996.15,1084.70,987.55,1080.10,7108342,115479,7486965860.00,4551100,64.02,97.15,83.95
January-2017,1081.35,1097.00,1014.05,1043.40,5611677,138571,5899504494.00,2656747,47.34,82.95,-37.95
February-2017,1045.20,1256.50,1022.00,1238.25,11471980,252818,13213488016.00,4800325,41.84,234.50,193.05
March-2017,1242.00,1336.00,1225.65,1319.20,1191293571,288029,1533760219567.00,1183192362,99.32,110.35,77.20
April-2017,1332.00,1465.00,1332.00,1394.80,9303621,220398,13023630345.00,2964818,31.87,133.00,62.80
May-2017,1400.10,1402.00,1295.00,1340.60,6036076,120314,8119230686.00,2720128,45.06,107.00,-59.50
June-2017,1338.00,1444.00,1308.60,1380.25,10755312,125698,14816079999.00,7732914,71.90,135.40,42.25
July-2017,1388.00,1631.10,1372.10,1613.85,9690182,242574,14870105907.00,3141792,32.42,259.00,225.85
August-2017,1623.85,1665.00,1530.00,1593.50,5120100,167192,8136975934.00,1732901,33.85,135.00,-30.35
September-2017,1601.80,1652.40,780.00,782.15,12317360,179213,12746017780.00,5878188,47.72,872.40,-819.65
October-2017,792.35,958.20,786.25,940.80,13174254,173811,11902867456.00,7357071,55.84,171.95,148.45
November-2017,946.00,959.00,873.00,922.60,10042930,155506,9252148176.00,4905428,48.84,86.00,-23.40
December-2017,925.00,937.00,861.70,921.05,10670844,110663,9816835059.00,5674832,53.18,75.30,-3.95
January-2018,922.00,990.00,907.25,961.15,12352218,165150,11629803520.00,4857066,39.32,82.75,39.15
February-2018,964.40,971.25,872.10,952.45,7180248,128087,6596278145.00,2287327,31.86,99.15,-11.95
March-2018,950.85,958.80,881.00,882.80,6793282,111491,6175326086.00,2779035,40.91,77.80,-68.05
April-2018,890.50,1010.70,886.10,963.10,8639469,148380,8144982960.00,3961231,45.85,124.60,72.60
May-2018,968.80,999.30,907.10,921.30,11378419,146316,10742391820.00,4029664,35.41,92.20,-47.50
June-2018,921.30,1035.80,919.10,972.95,16612272,152253,16378477505.00,10765676,64.81,116.70,51.65
July-2018,973.00,1190.00,957.55,1185.85,11441431,239553,12300031679.00,3714714,32.47,232.45,212.85
August-2018,1195.00,1328.75,1166.00,1240.95,9939864,187638,12353122903.00,4438461,44.65,162.75,45.95
September-2018,1249.00,1279.90,1183.20,1258.20,9648792,206959,11955679127.00,3652504,37.85,96.70,9.20
October-2018,1258.20,1260.00,1017.00,1061.40,18145610,373701,19890699532.00,7150498,39.41,243.00,-196.80
November-2018,1066.40,1186.00,1050.30,1168.20,17283993,204258,18905436839.00,9980122,57.74,135.70,101.80
December-2018,1172.05,1174.00,1055.35,1121.05,10128281,188769,11271007072.00,4294683,42.40,118.65,-51.00
January-2019,1126.00,1263.00,1081.25,1227.10,14170613,269939,16688466512.00,4646258,32.79,181.75,101.10
February-2019,1234.00,1320.85,1206.15,1231.55,14001202,232816,17566379638.00,6685636,47.75,114.70,-2.45
March-2019,1235.00,1386.60,1218.20,1363.05,14748550,229129,19539031327.00,6239709,42.31,168.40,128.05
April-2019,1368.55,1410.90,1321.60,1391.80,11501774,230497,15705013186.00,3894985,33.86,89.30,23.25
May-2019,1394.00,1417.00,1227.00,1329.75,19731034,376916,26052809023.00,7255075,36.77,190.00,-64.25
June-2019,1335.00,1373.00,1248.05,1252.00,7048484,179840,9187871184.00,2493944,35.38,124.95,-83.00
July-2019,1257.00,1299.80,1163.00,1166.00,8547940,264546,10750791986.00,3413910,39.94,136.80,-91.00
August-2019,1169.80,1304.00,1095.65,1248.35,11067323,323092,13572125832.00,3098619,28.00,208.35,78.55
September-2019,1240.00,1336.00,1173.25,1332.60,8995149,272250,11177867872.00,2580058,28.68,162.75,92.60
October-2019,1335.00,1489.50,1281.20,1464.20,7503066,217864,10516559891.00,2996216,39.93,208.30,129.20
November-2019,1459.90,1584.00,1423.35,1550.90,8062936,252980,12122139708.00,3546112,43.98,160.65,91.00
December-2019,1595.00,1617.80,1509.10,1514.10,10131329,262113,15867717911.00,3938468,38.87,108.70,-80.90
January-2020,1516.10,1609.50,1407.45,1411.70,8379170,307447,12741534967.00,3330545,39.75,202.05,-104.40
February-2020,1406.95,1507.95,1325.00,1328.65,9891342,303563,14323341451.00,5534489,55.95,182.95,-78.30
March-2020,1358.40,1368.75,875.70,1112.45,234549195,843846,236837435571.00,219569754,93.61,493.05,-245.95
April-2020,1116.20,1495.00,1044.75,1467.05,20539292,723011,26563302536.00,4259999,20.74,450.25,350.85
May-2020,1442.00,1614.85,1393.65,1465.20,18317840,644406,27176318850.00,4537710,24.77,221.20,23.20
June-2020,1480.00,1804.10,1475.65,1703.35,22069670,765985,36639943438.00,5376770,24.36,328.45,223.35
July-2020,1718.00,2198.70,1708.75,2066.95,29362534,1157827,58042135920.00,6611024,22.52,489.95,348.95
August-2020,2059.00,2195.00,2001.25,2078.55,17255541,748805,36555685958.00,4193689,24.30,193.75,19.55
September-2020,2095.00,2368.80,2045.35,2233.75,16941796,671955,37619964805.00,6798741,40.13,323.45,138.75
October-2020,2264.00,2309.40,1990.75,2054.35,10937428,465751,23679016789.00,5191169,47.46,318.65,-209.65
November-2020,2033.50,2095.35,1835.00,1929.85,17850068,967752,35190953252.00,6458050,36.18,260.35,-103.65
December-2020,1935.25,2037.80,1856.05,1984.65,10917366,596123,21587130494.00,4404854,40.35,181.75,49.40
January-2021,1986.15,2119.80,1830.00,1843.15,17634405,809550,34503237338.00,8310007,47.12,289.80,-143.00
February-2021,1845.20,2152.25,1845.20,2083.85,17160448,810887,34497529083.00,7665593,44.67,307.05,238.65
March-2021,2114.45,2231.00,1973.05,2003.20,10190776,445423,21446296938.00,3382380,33.19,257.95,-111.25
April-2021,2019.70,2046.10,1877.60,1994.45,10796371,400123,21078146871.00,6542011,60.59,168.50,-25.25
May-2021,1963.70,2191.50,1906.50,2160.45,11393388,562197,22939897366.00,5233085,45.93,285.00,196.75
June-2021,2164.10,2274.50,2081.10,2110.90,10707303,587767,23401939763.00,4122366,38.50,193.40,-53.20
July-2021,2114.10,2153.00,2016.60,2035.40,8584891,383844,17996770685.00,5754700,67.03,136.40,-78.70
August-2021,2047.20,2283.00,2041.00,2259.30,5647303,278079,12105643576.00,2854233,50.54,242.00,212.10
September-2021,2275.00,2565.00,2130.00,2517.00,12091987,367685,29660884968.00,8911663,73.70,435.00,242.00
October-2021,2506.00,2750.00,2495.85,2537.60,13966442,306670,36666319147.00,11668151,83.54,254.15,31.60
November-2021,2531.20,2602.10,2309.40,2406.75,7789362,439616,19069658104.00,4793103,61.53,292.70,-124.45
December-2021,2425.50,2496.00,2248.00,2368.15,6671512,451022,15891461306.00,3770379,56.51,248.00,-57.35
January-2022,2367.50,2566.50,2305.05,2386.35,8304227,422742,20006643745.00,5227632,62.95,261.45,18.85
February-2022,2410.00,2456.00,2242.50,2359.10,11724907,426861,27728899612.00,8896809,75.88,213.50,-50.90
March-2022,2349.10,2688.00,2181.00,2633.95,6526204,488599,15760112682.00,3120082,47.81,507.00,284.85
April-2022,2641.30,2855.00,2522.60,2790.80,4692654,375531,12602079760.00,2128774,45.36,332.40,149.50
May-2022,2755.50,2805.00,2370.00,2633.90,9397463,484285,24754607408.00,6027173,64.14,435.00,-121.60
June-2022,2632.35,2816.35,2446.00,2594.05,5046878,406103,13365065844.00,1689530,33.48,370.35,-38.30
July-2022,2580.00,2591.65,2365.00,2508.75,12371731,523578,29969458581.00,8117828,65.62,226.65,-71.25
August-2022,2513.00,2677.60,2507.95,2639.10,7830784,276068,20013360028.00,5568853,71.11,169.65,126.10
September-2022,2589.10,2628.55,2313.55,2377.70,8030740,361389,20174317569.00,5594385,69.66,315.00,-211.40
October-2022,2397.00,2560.50,2343.60,2549.55,9991071,269357,24382834757.00,7874221,78.81,216.90,152.55
November-2022,2582.00,2743.60,2508.00,2732.40,8936156,272191,23399859969.00,7256386,81.20,235.60,150.40
December-2022,2736.00,2754.70,2493.00,2548.20,2980445,290388,7787249412.00,1379385,46.28,261.70,-187.80
January-2023,2556.90,2605.00,2301.15,2353.90,5195972,353336,12666325556.00,3455280,66.50,303.85,-203.00
February-2023,2380.00,2463.00,2293.10,2321.95,4439065,410715,10524028819.00,2509173,56.52,169.90,-58.05
March-2023,2342.20,2424.50,2315.20,2323.15,1446199,152397,3415340624.00,824747,57.03,109.30,-19.05
